Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
55266970,09/01/2022 12:24:45 AM,09/01/2022 12:26:44 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10031,620 WEST  141 STREET,WEST  141 STREET,BROADWAY,RIVERSIDE DRIVE,BROADWAY,RIVERSIDE DRIVE,ADDRESS,NEW YORK,WEST  141 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/01/2022 12:26:48 AM,09 MANHATTAN,MANHATTAN,997264,239545,Unspecified,MANHATTAN,,,,,,,,40.82416166479311,-73.95297805704422,"(40.82416166479311, -73.95297805704422)"
55268154,09/01/2022 12:25:39 AM,09/01/2022 12:34:33 AM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10016,626 1 AVENUE,1 AVENUE,EAST   35 STREET,EAST   36 STREET,EAST   35 STREET,EAST   36 STREET,ADDRESS,NEW YORK,1 AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/01/2022 12:34:40 AM,06 MANHATTAN,MANHATTAN,991818,210664,Unspecified,MANHATTAN,,,,,,,,40.74489736936712,-73.97268797740104,"(40.74489736936712, -73.97268797740104)"
55266269,09/01/2022 12:29:25 AM,09/01/2022 01:01:46 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11205,1058 BEDFORD AVENUE,BEDFORD AVENUE,LAFAYETTE AVENUE,CLIFTON PLACE,LAFAYETTE AVENUE,CLIFTON PLACE,ADDRESS,BROOKLYN,BEDFORD AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/01/2022 01:01:52 AM,03 BROOKLYN,BROOKLYN,996727,190236,Unspecified,BROOKLYN,,,,,,,,40.68882185253956,-73.95500983975015,"(40.68882185253956, -73.95500983975015)"
55273042,09/01/2022 12:33:14 AM,09/01/2022 12:49:52 AM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11235,5 BRIGHTON    8 COURT,BRIGHTON    8 COURT,BRIGHTON    8 STREET,CONEY ISLAND AVENUE,BRIGHTON    8 STREET,CONEY ISLAND AVENUE,ADDRESS,BROOKLYN,BRIGHTON    8 COURT,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/01/2022 12:49:57 AM,13 BROOKLYN,BROOKLYN,995160,151521,Unspecified,BROOKLYN,,,,,,,,40.58255951032478,-73.96072279668185,"(40.58255951032478, -73.96072279668185)"
55272347,09/01/2022 12:35:55 AM,09/01/2022 01:29:16 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10032,AUDOBON AVENUE,AUDOBON AVENUE,WEST  170 STREET,WILSON BATISTA CORNER,WEST  170 STREET,WILSON BATISTA CORNER,BLOCKFACE,,,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/01/2022 01:29:20 AM,Unspecified MANHATTAN,MANHATTAN,,,Unspecified,MANHATTAN,,,,,,,,,,
55266972,09/01/2022 12:36:20 AM,09/01/2022 12:44:22 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10031,607 RIVERSIDE DRIVE,RIVERSIDE DRIVE,WEST  137 STREET,WEST  138 STREET,WEST  137 STREET,WEST  138 STREET,ADDRESS,NEW YORK,RIVERSIDE DRIVE,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,09/01/2022 12:44:27 AM,09 MANHATTAN,MANHATTAN,996482,239015,Unspecified,MANHATTAN,,,,,,,,40.82270808277618,-73.9558045305859,"(40.82270808277618, -73.9558045305859)"
55266268,09/01/2022 12:37:47 AM,09/01/2022 01:12:50 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10036,339 WEST   44 STREET,WEST   44 STREET,8 AVENUE,9 AVENUE,8 AVENUE,9 AVENUE,ADDRESS,NEW YORK,WEST   44 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/01/2022 01:12:57 AM,04 MANHATTAN,MANHATTAN,987011,215817,Unspecified,MANHATTAN,,,,,,,,40.759043857315014,-73.99003375939989,"(40.759043857315014, -73.99003375939989)"
55268648,09/01/2022 12:40:36 AM,09/01/2022 02:35:03 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11377,34-11 58 STREET,58 STREET,34 AVENUE,37 AVENUE,34 AVENUE,37 AVENUE,ADDRESS,WOODSIDE,58 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/01/2022 02:35:10 AM,02 QUEENS,QUEENS,1010937,213112,Unspecified,QUEENS,,,,,,,,40.75157948015168,-73.90368007472013,"(40.75157948015168, -73.90368007472013)"
55265077,09/01/2022 12:50:12 AM,09/01/2022 01:13:29 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10455,712 FOX STREET,FOX STREET,LEGGETT AVENUE,EAST  156 STREET,LEGGETT AVENUE,EAST  156 STREET,ADDRESS,BRONX,FOX STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/01/2022 01:13:34 AM,02 BRONX,BRONX,1012143,236104,Unspecified,BRONX,,,,,,,,40.81468264138027,-73.89923186786936,"(40.81468264138027, -73.89923186786936)"
55266253,09/01/2022 12:51:29 AM,09/01/2022 01:35:47 AM,NYPD,New York City Police Department,Noise - Park,Loud Talking,Park/Playground,11206,242 SCHOLES STREET,SCHOLES STREET,BUSHWICK AVENUE,WATERBURY STREET,BUSHWICK AVENUE,WATERBURY STREET,ADDRESS,BROOKLYN,SCHOLES STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/01/2022 01:35:51 AM,01 BROOKLYN,BROOKLYN,1001186,197664,Ten Eyck Playground,BROOKLYN,,,,,,,,40.709202565181556,-73.93891269151246,"(40.709202565181556, -73.93891269151246)"
55272345,09/01/2022 12:57:08 AM,09/01/2022 01:05:50 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11220,528 51 STREET,51 STREET,5 AVENUE,6 AVENUE,5 AVENUE,6 AVENUE,ADDRESS,BROOKLYN,51 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/01/2022 01:05:54 AM,07 BROOKLYN,BROOKLYN,981437,173930,Unspecified,BROOKLYN,,,,,,,,40.64407385675955,-74.01013644630895,"(40.64407385675955, -74.01013644630895)"
55282808,09/01/2022 01:01:29 AM,09/01/2022 03:42:58 AM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11225,2100 BEEKMAN PLACE,BEEKMAN PLACE,DEAD END,FLATBUSH AVENUE,DEAD END,FLATBUSH AVENUE,ADDRESS,BROOKLYN,BEEKMAN PLACE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/01/2022 03:43:03 AM,09 BROOKLYN,BROOKLYN,995071,179734,Unspecified,BROOKLYN,,,,,,,,40.659998407531084,-73.96099798320904,"(40.659998407531084, -73.96099798320904)"
55274329,09/01/2022 01:01:45 AM,09/01/2022 01:41:33 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10032,655 WEST  160 STREET,WEST  160 STREET,FORT WASHINGTON AVENUE,RIVERSIDE DRIVE,FORT WASHINGTON AVENUE,RIVERSIDE DRIVE,ADDRESS,NEW YORK,WEST  160 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/01/2022 01:41:39 AM,12 MANHATTAN,MANHATTAN,999307,244152,Unspecified,MANHATTAN,,,,,,,,40.83680331008733,-73.94558598899529,"(40.83680331008733, -73.94558598899529)"
55276745,09/01/2022 01:05:29 AM,09/01/2022 01:12:50 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11238,585 PROSPECT PLACE,PROSPECT PLACE,FRANKLIN AVENUE SHUTTLE LINE,FRANKLIN AVENUE,FRANKLIN AVENUE SHUTTLE LINE,FRANKLIN AVENUE,ADDRESS,BROOKLYN,PROSPECT PLACE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/01/2022 01:12:58 AM,08 BROOKLYN,BROOKLYN,996136,185279,Unspecified,BROOKLYN,,,,,,,,40.675216830205585,-73.9571496389228,"(40.675216830205585, -73.9571496389228)"
55281614,09/01/2022 01:09:05 AM,09/01/2022 02:21:18 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11226,1062 FLATBUSH AVENUE,FLATBUSH AVENUE,BEVERLEY ROAD,BEVERLEY ROAD,BEVERLEY ROAD,BEVERLEY ROAD,ADDRESS,BROOKLYN,FLATBUSH AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/01/2022 02:21:24 AM,14 BROOKLYN,BROOKLYN,995900,174237,Unspecified,BROOKLYN,,,,,,,,40.644909290021,-73.9580195228081,"(40.644909290021, -73.9580195228081)"
55281601,09/01/2022 01:09:56 AM,09/01/2022 01:27:46 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11211,LITHUANIA SQUARE,LITHUANIA SQUARE,STAGG STREET,SOUTH    2 STREET,STAGG STREET,SOUTH    2 STREET,UNRECOGNIZED,BROOKLYN,LITHUANIA SQUARE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/01/2022 01:27:53 AM,01 BROOKLYN,BROOKLYN,997856,197546,Unspecified,BROOKLYN,,,,,,,,40.70888443051806,-73.95092407128958,"(40.70888443051806, -73.95092407128958)"
55274330,09/01/2022 01:10:11 AM,09/01/2022 02:20:50 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11226,1064 FLATBUSH AVENUE,FLATBUSH AVENUE,BEVERLEY ROAD,BEVERLEY ROAD,BEVERLEY ROAD,BEVERLEY ROAD,ADDRESS,BROOKLYN,FLATBUSH AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/01/2022 02:20:54 AM,14 BROOKLYN,BROOKLYN,995902,174206,Unspecified,BROOKLYN,,,,,,,,40.64482419908092,-73.95801236940473,"(40.64482419908092, -73.95801236940473)"
55280363,09/01/2022 01:11:10 AM,09/01/2022 01:27:32 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11211,LITHUANIA SQUARE,LITHUANIA SQUARE,STAGG STREET,SOUTH    2 STREET,STAGG STREET,SOUTH    2 STREET,UNRECOGNIZED,BROOKLYN,LITHUANIA SQUARE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/01/2022 01:27:38 AM,01 BROOKLYN,BROOKLYN,997856,197546,Unspecified,BROOKLYN,,,,,,,,40.70888443051806,-73.95092407128958,"(40.70888443051806, -73.95092407128958)"
55276734,09/01/2022 01:12:31 AM,09/01/2022 01:27:05 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11211,LITHUANIA SQUARE,LITHUANIA SQUARE,STAGG STREET,SOUTH    2 STREET,STAGG STREET,SOUTH    2 STREET,UNRECOGNIZED,BROOKLYN,LITHUANIA SQUARE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/01/2022 01:27:13 AM,01 BROOKLYN,BROOKLYN,997856,197546,Unspecified,BROOKLYN,,,,,,,,40.70888443051806,-73.95092407128958,"(40.70888443051806, -73.95092407128958)"
55274334,09/01/2022 01:13:40 AM,09/01/2022 01:27:18 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11211,401 HEWES STREET,HEWES STREET,SOUTH    3 STREET,STAGG STREET,SOUTH    3 STREET,STAGG STREET,ADDRESS,BROOKLYN,HEWES STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/01/2022 01:27:23 AM,01 BROOKLYN,BROOKLYN,997782,197472,Unspecified,BROOKLYN,,,,,,,,40.70868143155585,-73.95119113298999,"(40.70868143155585, -73.95119113298999)"
55280362,09/01/2022 01:14:28 AM,09/01/2022 01:26:49 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11211,LITHUANIA SQUARE,LITHUANIA SQUARE,STAGG STREET,SOUTH    2 STREET,STAGG STREET,SOUTH    2 STREET,UNRECOGNIZED,BROOKLYN,LITHUANIA SQUARE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/01/2022 01:26:53 AM,01 BROOKLYN,BROOKLYN,997856,197546,Unspecified,BROOKLYN,,,,,,,,40.70888443051806,-73.95092407128958,"(40.70888443051806, -73.95092407128958)"
55281600,09/01/2022 01:15:32 AM,09/01/2022 01:26:36 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11211,LITHUANIA SQUARE,LITHUANIA SQUARE,STAGG STREET,SOUTH    2 STREET,STAGG STREET,SOUTH    2 STREET,UNRECOGNIZED,BROOKLYN,LITHUANIA SQUARE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/01/2022 01:26:40 AM,01 BROOKLYN,BROOKLYN,997856,197546,Unspecified,BROOKLYN,,,,,,,,40.70888443051806,-73.95092407128958,"(40.70888443051806, -73.95092407128958)"
55279131,09/01/2022 01:16:30 AM,09/01/2022 01:26:23 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11211,LITHUANIA SQUARE,LITHUANIA SQUARE,STAGG STREET,SOUTH    2 STREET,STAGG STREET,SOUTH    2 STREET,UNRECOGNIZED,BROOKLYN,LITHUANIA SQUARE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/01/2022 01:26:30 AM,01 BROOKLYN,BROOKLYN,997856,197546,Unspecified,BROOKLYN,,,,,,,,40.70888443051806,-73.95092407128958,"(40.70888443051806, -73.95092407128958)"
55281613,09/01/2022 01:16:47 AM,09/01/2022 01:55:48 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10009,1225 FDR DRIVE,FDR DRIVE,EAST   10 STREET PEDESTRIAN OVPS,FDR DRIVE SB ENTRANCE E   14 ST,EAST   10 STREET PEDESTRIAN OVPS,FDR DRIVE SB ENTRANCE E   14 ST,ADDRESS,NEW YORK,FRANKLIN D ROOSEVELT DRIVE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/01/2022 01:55:53 AM,03 MANHATTAN,MANHATTAN,991889,203636,Unspecified,MANHATTAN,,,,,,,,40.72560718249235,-73.97243972666512,"(40.72560718249235, -73.97243972666512)"
55281599,09/01/2022 01:17:34 AM,09/01/2022 01:26:10 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11211,LITHUANIA SQUARE,LITHUANIA SQUARE,STAGG STREET,SOUTH    2 STREET,STAGG STREET,SOUTH    2 STREET,UNRECOGNIZED,BROOKLYN,LITHUANIA SQUARE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/01/2022 01:26:18 AM,01 BROOKLYN,BROOKLYN,997856,197546,Unspecified,BROOKLYN,,,,,,,,40.70888443051806,-73.95092407128958,"(40.70888443051806, -73.95092407128958)"
55276733,09/01/2022 01:18:40 AM,09/01/2022 01:25:57 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11211,LITHUANIA SQUARE,LITHUANIA SQUARE,STAGG STREET,SOUTH    2 STREET,STAGG STREET,SOUTH    2 STREET,UNRECOGNIZED,BROOKLYN,LITHUANIA SQUARE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/01/2022 01:26:03 AM,01 BROOKLYN,BROOKLYN,997856,197546,Unspecified,BROOKLYN,,,,,,,,40.70888443051806,-73.95092407128958,"(40.70888443051806, -73.95092407128958)"
55280368,09/01/2022 01:19:11 AM,09/01/2022 01:41:39 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10032,655 WEST  160 STREET,WEST  160 STREET,FORT WASHINGTON AVENUE,RIVERSIDE DRIVE,FORT WASHINGTON AVENUE,RIVERSIDE DRIVE,ADDRESS,NEW YORK,WEST  160 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/01/2022 01:41:44 AM,12 MANHATTAN,MANHATTAN,999307,244152,Unspecified,MANHATTAN,,,,,,,,40.83680331008733,-73.94558598899529,"(40.83680331008733, -73.94558598899529)"
55275586,09/01/2022 01:19:44 AM,09/01/2022 01:25:45 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11211,LITHUANIA SQUARE,LITHUANIA SQUARE,STAGG STREET,SOUTH    2 STREET,STAGG STREET,SOUTH    2 STREET,UNRECOGNIZED,BROOKLYN,LITHUANIA SQUARE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/01/2022 01:25:49 AM,01 BROOKLYN,BROOKLYN,997856,197546,Unspecified,BROOKLYN,,,,,,,,40.70888443051806,-73.95092407128958,"(40.70888443051806, -73.95092407128958)"
55274276,09/01/2022 01:43:09 AM,09/01/2022 01:46:12 AM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10031,620 WEST  141 STREET,WEST  141 STREET,BROADWAY,RIVERSIDE DRIVE,BROADWAY,RIVERSIDE DRIVE,ADDRESS,NEW YORK,WEST  141 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/01/2022 01:46:15 AM,09 MANHATTAN,MANHATTAN,997264,239545,Unspecified,MANHATTAN,,,,,,,,40.82416166479311,-73.95297805704422,"(40.82416166479311, -73.95297805704422)"
55275590,09/01/2022 01:48:45 AM,09/01/2022 02:29:36 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11415,LEFFERTS BOULEVARD,LEFFERTS BOULEVARD,LEFFERTS BOULEVARD,METROPOLITAN AVENUE,LEFFERTS BOULEVARD,METROPOLITAN AVENUE,INTERSECTION,,,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/01/2022 02:29:45 AM,09 QUEENS,QUEENS,1030894,196588,Unspecified,QUEENS,,,,,,,,40.706142467185444,-73.83176504853816,"(40.706142467185444, -73.83176504853816)"
55280232,09/01/2022 02:02:20 AM,09/01/2022 03:19:29 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Store/Commercial,11234,5602 AVENUE U,AVENUE U,EAST   56 STREET,PEARSON STREET,EAST   56 STREET,PEARSON STREET,ADDRESS,BROOKLYN,AVENUE U,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/01/2022 03:19:32 AM,18 BROOKLYN,BROOKLYN,1006784,162335,Unspecified,BROOKLYN,,,,,,,,40.612219816624304,-73.91883906133162,"(40.612219816624304, -73.91883906133162)"
55279072,09/01/2022 02:06:47 AM,09/01/2022 02:16:26 AM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10027,3150 BROADWAY,BROADWAY,LA SALLE STREET,TIEMANN PLACE,LA SALLE STREET,TIEMANN PLACE,ADDRESS,NEW YORK,BROADWAY,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/01/2022 02:16:31 AM,09 MANHATTAN,MANHATTAN,995506,235929,Unspecified,MANHATTAN,,,,,,,,40.81423917924942,-73.95933609407547,"(40.81423917924942, -73.95933609407547)"
55276749,09/01/2022 02:10:05 AM,09/01/2022 03:03:31 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11235,1725 EMMONS AVENUE,EMMONS AVENUE,EAST   16 STREET,LENA CYMBROWITZ WAY,EAST   16 STREET,LENA CYMBROWITZ WAY,ADDRESS,BROOKLYN,EMMONS AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/01/2022 03:03:35 AM,15 BROOKLYN,BROOKLYN,997789,151820,Unspecified,BROOKLYN,,,,,,,,40.58337658052807,-73.95125750951138,"(40.58337658052807, -73.95125750951138)"
